"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 15 12:08:31 UTC 2021","Wed Sep 15 12:08:31 UTC 2021","36","","Check Add Remove elements page defaults","","Check Add Remove elements page defaults","Verify Add button","Verify Add button",""
"passed","Wed Sep 15 12:08:31 UTC 2021","Wed Sep 15 12:08:31 UTC 2021","167","","Check Add Remove elements page defaults","","Check Add Remove elements page defaults","Check h3 header displayed","Check h3 header displayed",""
"passed","Wed Sep 15 12:08:31 UTC 2021","Wed Sep 15 12:08:31 UTC 2021","437","","Basic Auth in modal","","Basic Auth in modal","Login with correct credential","Login with correct credential",""
"passed","Fri Jul 30 09:00:23 UTC 2021","Fri Jul 30 09:00:23 UTC 2021","79","","Check login page defaults","","Check login page defaults","Check h2 header displayed","Check h2 header displayed",""
"passed","Fri Jul 30 09:00:23 UTC 2021","Fri Jul 30 09:00:23 UTC 2021","104","","Verify broken images","","Verify broken images","Verify Title","Verify Title",""
"passed","Wed Sep 15 12:08:33 UTC 2021","Wed Sep 15 12:08:34 UTC 2021","148","","Verify broken images","","Verify broken images","Verify Title","Verify Title",""
"passed","Fri Jul 30 09:00:20 UTC 2021","Fri Jul 30 09:00:20 UTC 2021","183","","Verify Add Remove elements","","Verify Add Remove elements","Remove element","Remove element",""
"passed","Wed Sep 15 12:08:32 UTC 2021","Wed Sep 15 12:08:32 UTC 2021","231","","Verify Add Remove elements","","Verify Add Remove elements","Remove element","Remove element",""
"passed","Fri Jul 30 09:00:23 UTC 2021","Fri Jul 30 09:00:23 UTC 2021","67","","Check login page defaults","","Check login page defaults","Verify Footer link","Verify Footer link",""
"passed","Fri Jul 30 09:00:23 UTC 2021","Fri Jul 30 09:00:23 UTC 2021","62","","Check login page defaults","","Check login page defaults","Ispect footer text","Ispect footer text",""
"passed","Wed Sep 15 12:08:34 UTC 2021","Wed Sep 15 12:08:34 UTC 2021","78","","Check login page defaults","","Check login page defaults","Check h2 header displayed","Check h2 header displayed",""
"passed","Fri Jul 30 09:00:19 UTC 2021","Fri Jul 30 09:00:20 UTC 2021","1049","","Basic Auth in modal","","Basic Auth in modal","Login with correct credential","Login with correct credential",""
"passed","Wed Sep 15 12:08:34 UTC 2021","Wed Sep 15 12:08:34 UTC 2021","74","","Check login page defaults","","Check login page defaults","Ispect footer text","Ispect footer text",""
"passed","Fri Jul 30 09:00:20 UTC 2021","Fri Jul 30 09:00:20 UTC 2021","29","","Check Add Remove elements page defaults","","Check Add Remove elements page defaults","Verify Add button","Verify Add button",""
"passed","Wed Sep 15 12:08:31 UTC 2021","Wed Sep 15 12:08:32 UTC 2021","183","","Verify Add Remove elements","","Verify Add Remove elements","Add element","Add element",""
"passed","Wed Sep 15 12:08:34 UTC 2021","Wed Sep 15 12:08:34 UTC 2021","84","","Check login page defaults","","Check login page defaults","Verify Footer link","Verify Footer link",""
"passed","Fri Jul 30 09:00:20 UTC 2021","Fri Jul 30 09:00:20 UTC 2021","136","","Verify Add Remove elements","","Verify Add Remove elements","Add element","Add element",""
"passed","Fri Jul 30 09:00:20 UTC 2021","Fri Jul 30 09:00:20 UTC 2021","95","","Check Add Remove elements page defaults","","Check Add Remove elements page defaults","Check h3 header displayed","Check h3 header displayed",""
